id,city,sex,date,salary,bonus,investment,rent,groceries,utilities,entertainment
ecbddaafbcdf,Los Angeles,F,2025-01-01,3468,1228,1475,2199,413,344,342
feebadaffaed,Chicago,F,2025-01-08,2788,1574,611,668,734,307,431
ceddaabafbfc,Los Angeles,M,2025-01-15,4519,327,62,1863,394,289,405
eebaaeabcddd,New York,M,2025-01-22,6288,1241,359,2268,418,354,69
bcaedafdaead,Los Angeles,F,2025-01-29,2277,606,631,1927,425,369,71
acdefdddfcdc,New York,F,2025-02-05,3764,1342,103,2312,723,349,90
ffebbedcfcea,Houston,M,2025-02-12,5429,1584,850,2147,204,380,343
ffbddabbbfda,Miami,F,2025-02-19,6181,874,822,1456,174,99,264
fafabcaabfed,Chicago,F,2025-02-26,7148,1303,306,597,702,287,212
eeaedbebfbec,Los Angeles,M,2025-03-05,4211,1682,117,1657,452,298,427
fadcdfdbdaeb,Houston,M,2025-03-12,5368,609,1039,529,547,183,286
dcaeeaccaaac,Houston,M,2025-03-19,3586,41,812,1919,184,103,260
cfccfddaadfa,New York,M,2025-03-26,7002,1583,904,2784,461,309,423
cbbdedcbfbae,Los Angeles,M,2025-04-02,2401,367,362,792,559,268,472
cbbcccdadccb,Chicago,M,2025-04-09,5361,157,811,2155,373,329,130
bbadceadcfac,Houston,F,2025-04-16,5005,37,384,557,263,192,72
badcefdbeeaf,Los Angeles,M,2025-04-23,7211,1505,104,946,287,335,276
eaffaadbdbaf,Los Angeles,M,2025-04-30,6506,888,1491,2956,526,80,86
daccddcfffed,Chicago,F,2025-05-07,4739,1536,484,2978,299,323,67
bcbcdedaedca,Miami,F,2025-05-14,6957,269,888,1318,525,93,463
bfceabaefedf,New York,F,2025-05-21,4004,992,1021,1813,282,230,393
daeffecbdfcd,Houston,F,2025-05-28,4877,114,1485,708,422,353,100
febafcacadde,New York,M,2025-06-04,4588,987,160,2692,618,321,327
fbadacbbfacb,Miami,F,2025-06-11,5741,69,683,1845,237,75,119
fbbbcffdeaad,Chicago,M,2025-06-18,7146,983,519,2564,160,102,442
dbefceacccfb,Houston,F,2025-06-25,2246,662,146,1901,292,282,429
fdfabacebcce,Miami,M,2025-07-02,2743,1683,1363,502,591,254,183
fbbbddacddbd,Los Angeles,F,2025-07-09,3186,363,1340,2602,664,365,465
cccbfafbdefe,Los Angeles,F,2025-07-16,4957,351,828,522,643,230,238
dedaecafdccf,Chicago,F,2025-07-23,6500,821,1372,2051,558,327,183
ebbafddcfbbe,Los Angeles,M,2025-07-30,6672,751,1438,1847,488,143,463
cdafcebeccfe,Houston,F,2025-08-06,3170,634,494,2863,659,350,140
caceaebdedac,New York,M,2025-08-13,3077,426,438,601,572,174,421
fedaddcfedee,New York,F,2025-08-20,3935,127,1063,2866,740,270,283
fcdcafbfaacb,Miami,F,2025-08-27,7321,132,345,2835,787,203,70
dfeafbaaceaa,Los Angeles,M,2025-09-03,4865,566,187,1025,277,225,398
fdddacadcbef,Chicago,F,2025-09-10,2475,874,1142,2795,311,246,447
ffadcafccfeb,New York,F,2025-09-17,3986,534,707,2777,771,255,84
cadaaffabaea,New York,M,2025-09-24,2860,0,961,2771,319,95,405
febbbccbabdb,New York,F,2025-10-01,2162,416,1440,692,160,335,204
ddafdefddada,New York,M,2025-10-08,6911,1780,1005,2377,458,384,73
dbcebecafebc,Chicago,M,2025-10-15,4790,656,5,597,772,127,304
fcdafcebfbbf,Miami,M,2025-10-22,7478,982,1346,1403,596,271,242
efababfbeeda,Los Angeles,M,2025-10-29,5086,795,86,1554,277,65,94
fbcfbffffffc,Houston,F,2025-11-05,7267,237,1190,2875,259,286,470
edbcfcadbffb,Chicago,M,2025-11-12,7767,480,312,979,698,128,266
aecfdbeabfde,Houston,F,2025-11-19,5722,780,767,898,642,161,253
bbfdeabbecfc,Houston,F,2025-11-26,3963,1027,252,2321,355,394,300
aecfceffddfa,Houston,M,2025-12-03,3145,1476,82,1509,276,79,124
cacbbdaafdff,Chicago,M,2025-12-10,2735,226,1210,1233,273,145,254
eacaecdbaebc,Chicago,F,2025-12-17,7459,1801,943,772,378,170,272
ebfbdbdaeafc,Los Angeles,M,2025-12-24,4427,1298,401,1439,102,104,271
ccbecdabdada,New York,M,2025-12-31,6375,1897,277,594,144,305,261
bdbbdbbdceed,Miami,M,2026-01-07,6355,786,124,1395,684,262,253
acaacebcfabd,Los Angeles,F,2026-01-14,4680,1471,828,1299,623,377,421
bebddebdcfac,Houston,F,2026-01-21,4690,1004,1273,1501,223,78,422
cffadcaaabdd,Miami,M,2026-01-28,3427,26,134,2662,283,175,66
bfbafaffdcdf,Houston,F,2026-02-04,3623,1156,1300,2167,159,354,154
bcbfdcdeeacb,New York,M,2026-02-11,2684,351,962,1636,194,259,61
eadcfedfedce,Chicago,M,2026-02-18,4295,201,628,2984,712,251,466
eccccceedaee,New York,F,2026-02-25,5408,278,454,2072,768,230,57
cdfaaeacedaf,Los Angeles,M,2026-03-04,4275,1008,708,1166,609,91,163
eeadcfbcdfcd,Los Angeles,F,2026-03-11,2874,1007,254,566,684,273,256
dfbfdbdccbab,New York,M,2026-03-18,4335,1270,849,2372,327,141,111
