id,city,sex,date,salary,bonus,investment,rent,groceries,utilities,entertainment
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
,,,,2162,0,5,502,102,65,57
